010010,,01,01,17.2
010010,,01,02,12.1
010010,,01,03,10.4
010010,,01,04,17.4
010010,,01,05,26.5
010010,,01,06,30.1
010010,,01,07,29.7
010010,,01,08,29.6
010010,,01,09,29.6
010010,,01,10,33.0
010010,,01,11,32.5
010010,,01,12,27.4
010010,,01,13,22.2
010010,,01,14,11.3
010010,,01,15,2.5
010010,,01,16,3.0
010010,,01,17,13.4
010010,,01,18,29.8
010010,,01,19,27.5
010010,,01,20,25.2
010010,,01,21,24.7
010010,,01,22,24.9
010010,,01,23,23.3
010010,,01,24,11.7
010010,,01,25,13.6
010010,,01,26,30.6
010010,,01,27,24.1
010010,,01,28,14.1
010010,,01,29,16.4
010010,,01,30,19.6
010010,,01,31,31.3
010010,,02,01,27.0
010010,,02,02,30.5
010010,,02,03,31.8
010010,,02,04,31.6
010010,,02,05,32.5